"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name","Pathogen"
"ENSG000000126601",0.0400339326899587,7.60356976564818,5.33881383600999,1.16873180665009e-07,1.14041636072991e-06,6.83051366182973,"ELOVL5","HCMV"
"ENSG000001760951",0.0385338428261994,6.79140003985866,5.33792999925338,1.17427611804763e-07,1.14531344387376e-06,6.80415628386423,"IP6K1","HCMV"
"ENSG000002714821",0.0691058721054683,-0.222524815582493,5.33543766281424,1.19004818956538e-07,1.15810451105137e-06,7.11419611583578,"ENSG00000271482","HCMV"
"ENSG000001622671",0.109892725254803,-0.36458490669119,5.33244820726258,1.20926497074901e-07,1.17523079605933e-06,7.08752442313434,"ITIH3","HCMV"
"ENSG000002508931",0.0708321248335362,1.54212780920459,5.33105953237406,1.21825242675814e-07,1.18133075774958e-06,6.98004225772718,"ENSG00000250893","HCMV"
"ENSG000001519481",0.0637957645513618,8.23086277881222,5.33078530215123,1.22004043213897e-07,1.18253829963862e-06,6.81229998555165,"GLT1D1","HCMV"
"ENSG000002350161",0.0575327753249427,1.36627933396053,5.32929627201757,1.22979352152369e-07,1.19112102029712e-06,6.98756530637547,"SEMA3F-AS1","HCMV"
"ENSG000002317991",0.0583791770920787,3.58010963268169,5.32918348785372,1.23053532364441e-07,1.19112102029712e-06,6.81581852818449,"PA2G4P6","HCMV"
"ENSG000002211021",0.090911971711118,-0.0853912697740401,5.32925516117571,1.23006386486337e-07,1.19112102029712e-06,7.06714787679433,"SNORA11B","HCMV"
"ENSG000002229861",0.0843010435651942,-1.64366213830438,5.32787866982711,1.23914893898092e-07,1.19786229953218e-06,7.16012958979339,"RNU5A-5P","HCMV"
"ENSG000002269281",0.0718946488993664,0.122382736482445,5.32614423793417,1.25068909911783e-07,1.20661555796672e-06,7.04217661747671,"RPS14P4","HCMV"
"ENSG000002892341",0.112487494457139,0.746279365248908,5.32576782197287,1.2532361148237e-07,1.20826379229618e-06,6.9915223032671,"ZNF496-DT","HCMV"
"ENSG000001621481",0.0470615886033625,1.08990372670882,5.32471084625517,1.26030480344868e-07,1.2134680230819e-06,6.98321013679221,"PPP1R32","HCMV"
"ENSG000001648081",0.0383112761088325,6.26841851108728,5.32324454327317,1.27021539765151e-07,1.2224701103988e-06,6.71733961347818,"SPIDR","HCMV"
"ENSG000001774321",0.0448658609236419,2.24412343480136,5.32281336084603,1.2731440561077e-07,1.22474771914043e-06,6.89312168162983,"NAP1L5","HCMV"
"ENSG000002729061",0.0564248544679983,0.104613022756485,5.32169119096578,1.28079671503035e-07,1.22904244627963e-06,7.02560389710206,"ENSG00000272906","HCMV"
"ENSG000002796221",0.0959628750148838,-0.60443453154807,5.3216625106054,1.280992884254e-07,1.22904244627963e-06,7.06518536310127,"ENSG00000279622","HCMV"
"ENSG000002792831",0.0646875313009528,3.17852262053912,5.31994537261566,1.29279104243348e-07,1.23872577060612e-06,6.79205931069832,"ENSG00000279283","HCMV"
"ENSG000001500541",0.0500445960254941,5.99557922388692,5.31945079457702,1.29620868733187e-07,1.24090909878181e-06,6.69558473590283,"MPP7","HCMV"
"ENSG000001321221",0.0976211003632182,2.74673619018187,5.31524389334095,1.32566564101102e-07,1.26632742884652e-06,6.80619021345072,"SPATA6","HCMV"
"ENSG000002295851",0.061429399755062,1.14690570450064,5.31433451270375,1.33208096995979e-07,1.27042788652156e-06,6.92411487809437,"RPL21P44","HCMV"
"ENSG000001049731",0.0600259407893264,7.10525546292627,5.3143050256547,1.33229047716819e-07,1.27042788652156e-06,6.69413040555729,"MED25","HCMV"
"ENSG000002865331",0.0912135561603287,1.11850311374237,5.31379987787345,1.33591497047753e-07,1.27332682815988e-06,6.91561889343818,"ENSG00000286533","HCMV"
"ENSG000001003071",0.0416860988845297,5.0896288147254,5.31313631936648,1.34061996091055e-07,1.2766944199423e-06,6.66680472440647,"CBX7","HCMV"
"ENSG000001223591",0.038793057998592,8.5137869109061,5.31227039369593,1.34682401567554e-07,1.28204231007227e-06,6.72484484941843,"ANXA11","HCMV"
"ENSG000000680791",0.0961933292892053,4.84104996071134,5.31026212792728,1.36135072013724e-07,1.29360971831968e-06,6.6520587920856,"IFI35","HCMV"
"ENSG000002656581",0.084236656593534,0.806677399780254,5.30628921328708,1.39044312120567e-07,1.31666080695134e-06,6.89609084625036,"MIR3690","HCMV"
"ENSG000000081281",0.0646573743737245,0.116824318365862,5.30408629986059,1.40685070475774e-07,1.32897797632535e-06,6.93701803675693,"CDK11A","HCMV"
"ENSG000001070991",0.0313680198047203,9.72481486425541,5.30179535889918,1.42411284371925e-07,1.34270855697961e-06,6.71173675258455,"DOCK8","HCMV"
"ENSG000002545541",0.064630477845439,2.13909892316696,5.30161832634724,1.42545528349399e-07,1.34339295726862e-06,6.78557082926892,"ADM-DT","HCMV"
"ENSG000001686101",0.0416850211412844,9.32410841455443,5.30112441585253,1.42920709651019e-07,1.34576462514523e-06,6.69540948151196,"STAT3","HCMV"
"ENSG000001635971",0.0477233446966476,4.28325115791693,5.29900000226869,1.4454537862624e-07,1.3557896060642e-06,6.62209568147369,"SNHG16","HCMV"
"ENSG000001391121",0.0561824402835756,6.51777924263749,5.29736488836163,1.45808020326562e-07,1.36645632468622e-06,6.59105458530633,"GABARAPL1","HCMV"
"ENSG000002021251",0.0809919448149998,-1.37481888006635,5.29568471206976,1.47116587110299e-07,1.37635178898511e-06,6.97716148480047,"RNU1-100P","HCMV"
"ENSG000001376281",0.133057115730663,5.93598382626474,5.29509690452712,1.47588102558184e-07,1.38017045778553e-06,6.58369675915029,"DDX60","HCMV"
"ENSG000002552211",0.128380089427852,1.83226141306512,5.29430869104353,1.48200064884268e-07,1.38529867600313e-06,6.74922330159982,"CARD17P","HCMV"
"ENSG000002745491",0.0859660536776,3.41632107731233,5.29090772157879,1.50902871542748e-07,1.40605035133119e-06,6.62365156318458,"ENSG00000274549","HCMV"
"ENSG000002295091",0.0818151977403728,-2.25141597109833,5.29086176944359,1.50936333551959e-07,1.40605035133119e-06,7.01312584214616,"ENSG00000229509","HCMV"
"ENSG000001708761",0.04061632301818,6.42193715568519,5.28781218251777,1.53400979817027e-07,1.42474592891441e-06,6.53817696001236,"TMEM43","HCMV"
"ENSG000001307751",0.0515131185894655,8.67606915060635,5.28742672042977,1.53715267800578e-07,1.42705665535014e-06,6.60464646537671,"THEMIS2","HCMV"
"ENSG000002682791",0.0584395412435525,1.20118782807939,5.28713746756731,1.53951520741465e-07,1.42840611857139e-06,6.78282558410681,"ENSG00000268279","HCMV"
"ENSG000002797441",0.0663667405493952,3.37346572407775,5.28551789038457,1.55281360379921e-07,1.43914315666444e-06,6.60373286999708,"ENSG00000279744","HCMV"
"ENSG000002775111",0.107374473761326,-0.683820489023826,5.28526016447426,1.5549688539568e-07,1.44052790641432e-06,6.86670831482831,"ENSG00000277511","HCMV"
"ENSG000002629991",0.105318357453801,2.78107808137648,5.28320866117131,1.57198992691125e-07,1.45497768828843e-06,6.64022026807515,"ENSG00000262999","HCMV"
"ENSG000001484001",0.053134052574087,9.33538229330533,5.28246305337046,1.57818559507978e-07,1.45955373222382e-06,6.59971157328329,"NOTCH1","HCMV"
"ENSG000002447311",0.058474665701758,-0.355258654711109,5.28157986869886,1.58559690626803e-07,1.46516416415072e-06,6.84880915128193,"C4A","HCMV"
"ENSG000002000631",0.0781255089574849,-0.443682027381243,5.28086052145018,1.59165826155823e-07,1.46951872292764e-06,6.84540573644539,"ENSG00000200063","HCMV"
"ENSG000002121761",0.0865574718638299,-0.184466456729565,5.28004198328813,1.59858271575936e-07,1.47309173217374e-06,6.82924403632557,"RNA5SP207","HCMV"
"ENSG000001259661",0.0505764038073852,3.24811284978895,5.2788588828965,1.60864278262359e-07,1.48080767176111e-06,6.5829875554031,"MMP24","HCMV"
"ENSG000001259701",0.0266673907019423,7.08996090965182,5.27630235519096,1.63059112213228e-07,1.49721660177582e-06,6.49493884553595,"RALY","HCMV"
"ENSG000001635681",0.0838532478279496,5.31680761025437,5.27347381501122,1.65524932532479e-07,1.51730027553647e-06,6.4591551402881,"AIM2","HCMV"
"ENSG000001029211",0.0436920015276426,7.80364242866646,5.2716070859136,1.67165881286476e-07,1.53169780796931e-06,6.49414285574256,"N4BP1","HCMV"
"ENSG000001727801",0.0641228613358025,3.46596821482868,5.27046739300456,1.68177732908363e-07,1.54032140493498e-06,6.52273863818491,"RAB43","HCMV"
"ENSG000000724011",0.0515647918587416,6.49237635213742,5.26956194537388,1.68985840328061e-07,1.54642271100719e-06,6.44743964450621,"UBE2D1","HCMV"
"ENSG000001545891",0.0703836246673103,5.51321043889077,5.26719794896044,1.71117229191632e-07,1.56199133089923e-06,6.4268460050528,"LY96","HCMV"
